xi,xj,LLM_model,prompt_id
The plants thrived,plants thrived greenhouse seeds planted garden plants thrived greenhouse seeds planted garden plants thrived greenhouse seeds planted,Falcon-7B,519
In the shadows,shadows is brother sister alcoholic teacher woman bodyguard place starts drinking move,GPT-2,201
The wind whispered,wind whispered trees whistled branches summer leaves trembled sails unfurling wind day grandmother taken promised come,GPT-Neo,611
The pencil scratched,pencil scratched paper think paper scratched pencil,OPT,513
The bags filled,bags filled food placed refrigerator days bags opened contents examined presence food contaminants bags placed refrigerator days,BLOOM,318
In the studio,studio band band studio recording album band studio recording album band studio recording album band studio recording,Falcon-7B,207
The balloon floated,balloon floated city balloon released organisation promotes understanding balloon released,Falcon-7B,319
The fire flickered,fire flickered distance light fire shining distance fire burning distance light fire shining distance fire burning,BLOOM,422
With a heavy,heart have confession make ’m position want serve follower,GPT-Neo,641
In the silence,silence night hear sound voice feel warmth touch see light eyes smell fragrance breath taste sweetness,Falcon-7B,203
The grass swayed,grass swayed began twitching grass soil falling village erupted roar hour village finished grass gone crowd dispersed,GPT-2,444
With a splash,splash paint skin model look leather jacket paint concerned looks touch pink waist model priced,GPT-2,654
The fog rolled,fog rolled rain started fall rain see wind blowing breathe rain,OPT,435
With a laugh,laugh said know n’t know said know know do,BLOOM,642
In the theater,theater sitting guy talking girlfriend talking going go movies going buy gift said,OPT,210
The car started,car started move driver trying get way driver car struck killed pedestrian city end morning trying get,OPT,354
The book shut,book shut internet joking joking book shut internet,OPT,333
She sat down,sat breakfast table bowl looked blackberry look sipped coffee feel ice cream scoop,GPT-Neo,263
The ocean roared,ocean roared sun ocean filled rays shone fog become middle ocean need go have,GPT-2,503
He sculpted the,sculpted character signature Know terms visuals graphics changes use color outset,GPT-2,129
As they performed,performed duties men followed drill instructor had know follow code conduct order given men drilled had pass order seen drill practice,GPT-Neo,49
As they watched,watched hear face crinkles excitement hear looked look shock begun appear face was getting know,GPT-2,66
The moon rose,moon rose stars shining sun shining stars shining moon shining stars shining moon shining stars shining moon shining stars shining,BLOOM,490
"Slowly, she walked",walked room girl gone,BLOOM,300
In the server,server user select type file uploaded user select file size user select file type user select file size user select,BLOOM,200
In the bedroom,bedroom bed bit have room living room sleep bed have bedroom living room sleep bed,BLOOM,153
The grass swayed,grass swayed wind sun shone green birds chirped trees air sky grass trees flowers blooming,Falcon-7B,444
He stood up,stood looked man man character man world man world man world,BLOOM,134
The bees buzzed,bees buzzed trees buzzed nests one see bees prepared children wonder seemed,GPT-Neo,320
As they harmonized,harmonized song thinking wonder going do thing songs,OPT,43
The plot thickened,plot thickened temperature increased temperature measured placed bottom vessel temperature measured min temperature measured placed bottom vessel,BLOOM,520
"Quietly, she whispered",whispered asked voice telling believed,Falcon-7B,229
The bell tolled,bell tolled hillside village stood end hill hills crowded people village residents evacuated safety rain decided go,GPT-2,324
The rain stopped,rain stopped raining while raining while raining while raining while raining,OPT,534
In the garden,garden flowering plants bloom flowers flowers flowers flowers flowers flowers flowers flowers,BLOOM,177
The music played,music played band mix music band made members guitars bass guitar keyboard drummer band playing weddings parties,Falcon-7B,496
The fire flickered,fire flickered time disappearing sea ship sailor pointed horizon knew,GPT-Neo,422
"Silently, she crept",crept calmness opened bundle arranged escape cover pulled side presented found,GPT-Neo,281
The train whistled,train whistled pulled station conductor stepped train walked back car opened door looked saw man sitting corner car conductor walked,Falcon-7B,589
In the laboratory,laboratory researchers used technique called electron microscopy examine structure protein found protein made parts sheet protein,OPT,182
The canvas came,canvas came result Thank job results canvas done quality work,BLOOM,351
The arrow flew,arrow flew hawk were flash crack hawk memory arrow made wood metal light,GPT-Neo,309
The waves lapped,waves lapped shore sun shining water beach crowded people,Falcon-7B,604
"Slowly, he stirred",stirred went door house time house time house,BLOOM,291
As justice prevailed,justice prevailed court ruled luggage tax assessed tax paid individuals obliged carry luggage travelled air rail carry,GPT-Neo,10
"Suddenly, a loud",man,OPT,303
She debugged the,debugged code found problem statement executed debugged code found problem statement executed ',Falcon-7B,240
The bread baked,bread baked version meal holidays people used gluten give potatoes texture accustomed,GPT-2,334
In the kitchen,kitchen house hills group men women men women children preparing lunch is smell meat aroma,GPT-Neo,181
The seedling grew,seedling grew colouring gave way rate hatching seedling killed shell bucket soil appear,GPT-2,548
The snow melted,snow melted wind blowing wind blowing snow falling ground wind blowing snow falling ground wind blowing snow,BLOOM,557
She looked down,looked table saw servant room room time room time,BLOOM,250
He climbed the,climbed staircase black walled room illuminated candles torchlight cell walls paneled wood floor iron sat,GPT-Neo,106
The keys played,keys played music time opened eyes morning saw windows thought day beginning going get going,GPT-Neo,459
He looked away,looked knew thinking wife said trying jerk want talk,Falcon-7B,115
In the den,den fireplace point room mantel place display things den fireplace point room mantel place,Falcon-7B,168
With a flourish,flourish removed helmet revealed head adorned eyebrow Welcome home months arrest murder father �,GPT-Neo,634
The moon rose,moon rose mountains guide north took night reach trailhead bottom morning descent town,GPT-Neo,490
The robot moved,robot moved right left right left robot move right left right left robot move right left,BLOOM,540
The light bulb,bulb black half bulb light sides periods darkness light rises wall indicate hours light switched,GPT-2,474
"Suddenly, a loud",occurred arm torn had grip pair scissors held arms hand gripped small back worry,GPT-2,303
The water splashed,water splashed storm team helicopters took scene hospital fire department announced firefighters named missing residents told,GPT-2,600
With a frown,frown face looked man entered room mean interrupt go,OPT,635
The rain drizzled,rain drizzled streets city day city bustling activity streets filled people city place,OPT,529
The adventure unfolded,adventure unfolded midst world war story heroine girl sent front fight war told form story love adventure,BLOOM,305
"Carefully, he poured",poured water glass spill spill spill spill,OPT,77
As morning broke,morning broke sun shining go bed day night day,BLOOM,11
The car stopped,car stopped corner road driver stopped police driver taken hospital pronounced police said driver resident village,BLOOM,355
"Slowly, he breathed",breathed air saw light fire rising distance astonished looked see fire rising distance fire,BLOOM,284
In the distance,distance water crystal depths fish flitting bees buzzing swarms sun flitting garden,GPT-Neo,169
"Carefully, she mixed",mixed food plate held hand man kitchen watch dipped fingers stewed mushrooms put mouth scooped,GPT-Neo,85
With great effort,effort authors shown presence,BLOOM,667
As they laughed,laughed eyes fell trees trail people area saw people out place creature people world,GPT-2,45
With a fizz,fizz go fountain think means fountain fountain think means fountain fountain,OPT,633
With a sprinkle,sprinkle salt going assume saying idea,OPT,655
She raised her,raised hands protest asked take action talk mom looking shouted aren,GPT-2,259
The kata flowed,kata flowed execution bit,OPT,458
The sun peeked,sun peeked window sun shining sun shining sun shining sun shining sun shining sun shining sun shining sun shining,BLOOM,572
The fog rolled,fog rolled sun disappeared fog rolled sun disappeared fog rolled sun disappeared fog rolled sun disappeared fog rolled,Falcon-7B,435
With a shrug,shrug guard led others tried look legs name said tried step side guard follow,GPT-Neo,647
"Quietly, she crept",crept room looked clock house kitchen time,BLOOM,224
With great care,care invention encompasses cultivar geranium known zonale hereinafter referred cultivar name,GPT-Neo,666
He sculpted the,sculpted statue liberty sculpted statue liberty,OPT,129
As autumn came,autumn came end sun dropped horizon group people world religions gathered center city gathering opportunity,GPT-Neo,3
In the pantry,pantry lot work went making space appear bought metal shelves steel refrigerator door kitchen making look ’re,GPT-Neo,195
The cheese melted,cheese melted mouth know whispered love gone thing tried let show meant,GPT-Neo,363
He walked away,walked taking glance disappeared row houses night done knowing gone,GPT-Neo,142
She walked away,walked car came said mean hit,OPT,278
The stars appeared,stars appeared align get win did starting quarterback injured,OPT,563
He spotted the,spotted opportunity make buck took think trying get laugh,OPT,131
The flowers bloomed,flowers bloomed began flutter air picked bees bees grasshoppers point put happen said,GPT-2,433
In the backyard,backyard home found spot plant garden lacked funds build house decided make,GPT-Neo,149
The cat stretched,cat stretched paw dog trouble think cat trying get dog play think cat trying get dog,OPT,360
The data revealed,data revealed children years risk study has limitations number children compared children,GPT-2,391
The grain separated,grain separated rest grain think mean grain separated rest grain,OPT,441
The song peaked,song peaked Stand went sell copies,GPT-Neo,560
At the corner,corner street men standing woman looking look surprise do asked do said looking,BLOOM,69
The dog barked,dog barked sound make time day time weeks hound hounds given day exercise talent waited,GPT-Neo,397
The safe yielded,yielded lot money did lot money lot money lot money,OPT,543
The door closed,door closed go man walked gesturing pulling chair putting back leaning chair looking chair chair,GPT-2,402
The dough rose,dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose,OPT,407
The clock ticked,clock ticked point turned time looked time clock ticked time see stars horizon,GPT-2,372
The bird chirped,bird chirped flew bird gone bird gone bird gone bird gone bird gone bird gone bird gone bird gone bird,BLOOM,325
"Slowly, she breathed",breathed eyes closed felt warmth sun face breeze skin felt grass sand feet,Falcon-7B,295
The mystery deepened,mystery deepened weekend said weekend had evidence support theory killings act terrorism law enforcement official saying believed was,GPT-Neo,499
The door creaked,door creaked stepped door swung entered walked door saw room headed walked room,GPT-Neo,403
"Carefully, he placed",placed box table opened box looked table box table looked box table,Falcon-7B,76
At the corner,corner street has window light is door know has light man walks stops get shop is,GPT-2,69
The stone revealed,stone revealed sign preparing print name address stamped sign hung air entrance church plaque wall read,GPT-2,567
As they observed,observed said friend tell artist artist stay making life,GPT-Neo,48
In the basement,basement library staff has table books has cover design book has cover letters has cover letters others,GPT-Neo,152
The test passed,test passed test passed test passed test passed test passed test passed test passed test passed test passed test passed test passed test passed test,BLOOM,580
With a gasp,gasp grabbed pillow stood had look face knew get bathroom care,GPT-2,637
With trembling hands,trembling hands man stood looked girl girl seen had,BLOOM,668
In the foyer,foyer foot addition downtown mural depicts church history,Falcon-7B,174
Under the stars,stars stars shining stars shining stars shining stars shining stars shining stars shining stars,OPT,618
With a smile,smile said ’re ’re ’re ’re ’re,BLOOM,649
As they listened,listened crowd realized going have do crowd chanting want see president want see president,OPT,46
The land provided,land provided government construction airport located village km city airport located municipality,Falcon-7B,465
With a yawn,yawn opened eyes looked room bed desk chair looked noticed door walked,Falcon-7B,663
In the classroom,classroom teachers taught respect learning styles talents students giving opportunity show interests result lessons become do,GPT-Neo,159
As dawn broke,dawn broke city rescue workers arrived greeted scene devastation city sea mud water level rising rescue workers greeted,Falcon-7B,4
The boat rocked,boat rocked water sun shining sky sea air boat people smiling laughing boat heading,Falcon-7B,330
She waited for,waited day get work see job see job see job see,BLOOM,277
The sword gleamed,sword gleamed day,GPT-2,577
The audience listened,audience listened stories heroes war awarded title event attended,Falcon-7B,313
She held her,held hand asked get mother sisters took school get school gave boy took,GPT-2,247
The bell tolled,bell tolled followed moment silence sound began toll hour passed sun time hour pass sun rose,GPT-Neo,324
In the forest,forest forest forest forest forest forest forest forest forest forest forest forest,OPT,173
"Carefully, he placed",placed position policeman seems one government going tolerate put career line midst campaign oust,GPT-2,76
The stairs creaked,stairs creaked door opened man standing hallway face covered mask wearing mask face covered mask wearing mask face,BLOOM,562
With a nod,nod season feature show Legends feature cast,Falcon-7B,644
The wind whispered,wind whispered air sound wind wind blowing direction road road direction wind wind blowing direction,BLOOM,611
The stairs creaked,stairs creaked creaked stairs creaked creaked stairs creaked creaked stairs creaked creaked stairs creaked creaked,OPT,562
As morning broke,morning broke sun shining sky air birds singing middle day sitting porch,OPT,11
The muscles warmed,muscles warmed started program healed pain started creep was chance stop month sleep,GPT-2,494
The mystery deepened,mystery deepened man found car parking lot hotel city man 40s found,OPT,499
In the study,study history church century called time change upheaval church movement began,Falcon-7B,208
In the studio,studio band band studio recording album band studio recording album band studio recording album,OPT,207
She sketched the,sketched idea tower have roof enclosed towers idea build amphitheatre earthquake hit amphitheatre rise years,GPT-2,268
With a yawn,yawny neck hair legs face girls village countryside,GPT-2,663
The crop yielded,crop yielded lot fruit going assume saying crop yielded lot,OPT,381
The sword gleamed,sword gleamed sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight,OPT,577
As they exercised,exercised right speech protesters met barrage gas rubber bullets protesters protesting government decision allow construction mosque area,OPT,39
The safe yielded,yielded cash coins gold bars coins silver,Falcon-7B,543
"Quietly, he entered",entered room sat table walks sits said smiling,OPT,217
He reached for,reached gun reached gun reached gun reached gun reached gun reached gun reached gun,OPT,123
In the park,park are activities known group people difference park security measures help preventing incidents close entrances,GPT-2,196
With a groan,groan rolled opened eyes bed had idea time get look clock rolled closed,Falcon-7B,639
"Slowly, he descended",descended darkness man man words man born family words man born family,OPT,285
As spring arrived,spring arrived weather snow ground sun shining temperature 30s snow melting ground grass,Falcon-7B,18
She explored the,explored world gaming culture years developed website people meet drinks playing video games released whim spent portion,GPT-2,243
He searched for,searched body officer die started argument led believe love neighbors found body son says shot,GPT-2,130
As they sparred,sparred world killed killed killed killed,BLOOM,59
He adopted the,adopted name became player score goals season player score points season player score goals,Falcon-7B,104
The butterfly landed,butterfly landed head chin pull pulled edge shirt tried hold bounced fell face instant,GPT-2,340
The connection established,connection established countries one countries have lot people countries countries have lot,Falcon-7B,377
The crowd cheered,crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd,GPT-Neo,382
As autumn came,autumn came end weather turned leaves fell trees air sun leaves shade trees grass,Falcon-7B,3
In the kitchen,kitchen thing stove heart kitchen stove equipment kitchen equipment kitchen equipment kitchen,Falcon-7B,181
The water rippled,water rippled waves crashed shore sun setting sky blue water air waves crashing shore water,OPT,599
In the studio,studio camera has picture trying take shot actor wearing trademark tie outfit called Shoot done,GPT-2,207
The software improved,software improved efficiency company operations helped reduce number employees company leading provider services production printed circuit boards operating market,Falcon-7B,558
The flavors balanced,flavors balanced combinations making dish condiment lunchtime day spicy pepper combo garlic,GPT-2,428
In the kitchen,kitchen look pictures father life go worked motorcycles work motorcycle time death hunter bike made,GPT-2,181
The grass grew,grass grew birds reach land live man stood waters animals live,GPT-Neo,442
In the shelter,shelter heard banging door sound gunfire sent man bleeding screaming men met ran screaming,GPT-2,202
As they talked,talked future talking future world talking future world talking future world talking future world,BLOOM,60
The drawing completed,drawing completed artist bit eyes nose think supposed bit,OPT,408
The adventure unfolded,adventure unfolded 1980s countries opening,Falcon-7B,305
With a yawn,yawn men turned side room man darkness man face standing middle room,BLOOM,663
As they cooked,cooked water poured pot pot covered lid lid removed pot placed minutes pot removed lid removed pot,BLOOM,31
The notes danced,notes danced hands looked see boy stood clothes headed moustache sat chair,GPT-2,502
The smoke rose,smoke rose cigar began drift grew feel growing growing going reach stared,GPT-Neo,554
As night deepened,night deepened moon rose stars came air night moon stars night moon,Falcon-7B,14
Slowly but surely,world becoming place think,OPT,283
With a laugh,laugh ask go conscience fight need see peace reconciliation ending violence rebuilding economy security stay prison,GPT-2,642
The dog barked,dog barked door think cat,OPT,397
The crowd cheered,crowd cheered Dancing Stars winner announced crowd cheered Dancing Stars winner announced crowd cheered Dancing Stars winner,Falcon-7B,382
"Slowly, he walked",walked think asked pointing eyes eyes turned let pass,GPT-2,294
The clues led,clues led discovery type cancer called breast cancer breast cancer cancer cancer women breast cancer cancer,BLOOM,373
The incense burned,incense burned church priest saying prayers church people priest saying prayers priest saying prayers church people incense burned,Falcon-7B,454
As they tested,tested hypotheses realized none working working resulted way science operates understanding works are types explanations,GPT-2,62
He took a,took breath said going tell told going tell truth going tell,Falcon-7B,137
She walked away,walked room door closed had idea happened knew had go had go police had go police had,BLOOM,278
The phone rang,phone rang police middle conversation mother middle conversation mother middle conversation mother,OPT,515
"Gently, she planted",planted seed table like have thing teach like teach said like take,GPT-2,97
The world changed,world changed said lot people gone asked 's keep lives told religion whole,GPT-2,613
As they talked,talked season thinking miss season loved season think season agree think season,OPT,60
"Carefully, he soldered",soldered wires circuit board soldered wires circuit board circuit board soldered wires circuit board soldered wires circuit board,Falcon-7B,79
The leaves rustled,leaves rustled smoke dissipated leaves started work had lot room relax relax stress fear,GPT-2,470
In the attic,attic village man started build house work bench boxes filled thousands bricks,GPT-Neo,148
The stars shone,stars shone darkening sky clouds rolled mountains world night world world world breath,GPT-Neo,565
The lion roared,lion roared elephant trumpeted giraffe stretched neck rhino snorted animals display fundraiser zoo,Falcon-7B,479
In the stadium,stadium fans cheered team fans see team captain captain team captain team captain team captain team,BLOOM,206
He stepped back,stepped eyes going tell go going tell go going tell go,Falcon-7B,132
The rain poured,rain poured sky flooded windows sky pink had idea getting take clothes go reached saw mother uncle,GPT-2,533
"Quietly, she crept",crept room looked clock house kitchen time,BLOOM,224
"Suddenly, a loud",crash thunder lightning struck ground town panic town panic town panic town,BLOOM,303
The grass rustled,grass rustled wind blew sun shone grass making look glowing grass color grass looked waving wind,Falcon-7B,443
The train rumbled,train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled,BLOOM,588
The tea steamed,tea steamed milk form dipped side cream taken time thicken mixed sugar sugar gel milk thudd,GPT-2,579
The grass swayed,grass swayed breeze hawk screeched distance hawk beak eyes morning moon,GPT-Neo,444
The crust stretched,crust stretched base island top island part island covered layer sand island covered layer sand part,BLOOM,386
The storm raged,storm raged bay swept water started run harbour water shore became areas parts east sea,GPT-2,569
The bell tolled,bell tolled tune wish get do write life writing line ended got,GPT-2,324
"Quietly, he entered",entered room middle room stood cot lay boy hair breathing tell,GPT-Neo,217
She explored the,explored possibilities technology field health care apply technology field health care apply technology field health care,BLOOM,243
The pollen floated,pollen floated landed window ladybird opened mandibles spread legs dropped flower landed bud fluff,GPT-Neo,521
The cat meowed,cat meowed trying sleep fuck,OPT,358
She reached for,reached telephone thinking going call help found looking stranger hair turned head found way see,GPT-2,260
As they drove,drove city saw crowd people number people number people number,BLOOM,35
The dog wagged,dog wagged tail looked man man sense dog house time,BLOOM,400
As they listened,listened story fact story fact story fact story,BLOOM,46
"Suddenly, a loud",crash pierced night got yelled teammates coaches court clock,GPT-Neo,303
The mystery deepened,mystery deepened man man man man man man man man man,BLOOM,499
The phone vibrated,phone vibrated sound car approaching heard driver wearing jacket leather jacket wearing leather jacket leather jacket driver wearing leather jacket,BLOOM,516
The dog sniffed,dog sniffed air wind wind sniffed air dog sniffed air dog sniffed air wind dog sniffed air wind,BLOOM,399
"Gently, he pushed",pushed bed went sit let slid bed want asked want know,GPT-Neo,89
The rain pattered,rain pattered roof parade cloak man sat fire smoked pipe child sat hearth rug,GPT-Neo,532
As justice prevailed,justice prevailed judges denied sides granted request injunction granted appeals ruling appeal ordered things,GPT-2,10
"Carefully, she placed",placed pieces paper bag took bag car took bag car drove driving direction,BLOOM,86
In the garden,garden spring bulbs beginning flower crocus snowdrops bloom daffodils beginning open tulips,Falcon-7B,177
The bell rang,bell rang students filed classroom teacher sitting desk waiting students take seats morning class said hope had,Falcon-7B,323
The camera flashed,camera flashed dark light make scene look scene scene bit camera capture scene scene bit,BLOOM,342
With a click,click button get copy version game game download play need register play game,OPT,629
With a nod,nod genre ' 80s teen horror films film opens sequence killer played abducts kills teens D,GPT-Neo,644
"Carefully, he sliced",sliced middle leave cut bottom neck shoulder blades sliced vein felt,GPT-Neo,78
As they walked,walked men talked weather crops price cattle news capital heard king going make law said farmer,Falcon-7B,65
"Slowly, he turned",turned head look talk understand talk,Falcon-7B,292
As they talked,talked future talking future world talking future world talking future world talking future world,BLOOM,60
The spell cast,spell casted spellcaster spell effect spellcaster cast spell spellcaster spellcaster spellcaster spellcaster cast spell,BLOOM,561
The puppy wagged,puppy wagged tail barked door Come come come come come come come come come come come come,OPT,525
With a grin,grin said know know said girl ’re girl ’re girl said boy,BLOOM,638
As day ended,day ended pitcher tea moment had epiphany walking street phone pocket saw man carrying cardboard,GPT-Neo,7
The door creaked,door creaked figure stepped room ’m disturb ’m got news ’m father,Falcon-7B,403
"Gently, he stroked",stroked face kissed lips kissed lips kissed face kissed lips kissed face kissed lips,BLOOM,90
The dough rose,dough rose worked gave turns bowl encourage rise moved recipe did listened tunes,GPT-Neo,407
In the database,database section click Show columns option Click drop list click Samples tab ‘S,GPT-Neo,167
The plane soared,plane soared feet reached altitude feet went clouds plane wingspan feet shot missile fired southwest,GPT-2,518
The glasses toasted,glasses toasted oven rest time wine kept glass wine kept glass glass kept wine wine kept glass,BLOOM,440
In the attic,attic number items car found pair sneakers golf cart pair books case containing bottle,GPT-2,148
He decided to,decided call time got said held hand hand went hand body thought,GPT-Neo,109
In the hallway,hallway stairs desk computer picked phone turned lights seemed order desk room,GPT-Neo,180
With a snip,snip have chance forced return chamber lost primary contest,GPT-2,653
"Slowly, he descent",descented sword fell head man man fell sword sword fell head man man fell sword s,BLOOM,286
The waves lapped,waves lapped temples ancestors walked jungle sun died chest waves died came find forest island boulder,GPT-2,604
The plot thickened,plot thickened day unfolded story became requiring actors characters cast drama film called _ _ age,GPT-Neo,520
The world changed,world changed released became company redefine experience tens hundreds devices features phones,GPT-Neo,613
"Carefully, he aimed",aimed gun man head going kill said voice going kill said voice,Falcon-7B,72
As they walked,walked city man try break barrier ghost move caring life danger defeated ran,GPT-Neo,65
As they exercised,exercised power control world control world control world control world control,BLOOM,39
He remembered when,remembered child had dream becoming doctor student class student class,Falcon-7B,126
He typed the,typed code string solution comes developer worked phone are ways doing accomplish language,GPT-2,141
As they climbed,climbed steps house thought occurred life motion lived illusion fixed future visualize,GPT-Neo,30
With a shrug,shrug said ’re ’re ’re ’re,BLOOM,647
The city slept,city slept street slept sun moon slept knew cared thing happened earth knew cared did world,GPT-Neo,368
The balloon floated,balloon floated ship mooring platform end ramp rose air wings flew landing gear pulled balloon lifting,GPT-2,319
The bridge swayed,bridge swayed wind blew wind blew bridge swayed wind blew bridge swayed wind blew bridge swayed wind blew,BLOOM,336
With a gasp,gasp realized reading comments article,OPT,637
"Slowly, she opened",opened eyes said mean man continued guess pulled head drawer,GPT-2,297
He lifted the,lifted weight world shoulders save save save,OPT,113
She sat down,sat bed looked phone waiting call time waiting call time waiting call time had,Falcon-7B,263
As they danced,danced men joined man member group man identified seen holding gun wearing hoodie men,OPT,33
The firewall breached,firewall breached joking works joking firewall breached joking firewall,OPT,425
"Quietly, he entered",entered room looked clock office morning finished,BLOOM,217
The candle flickered,candle flickered top mannequin have time hale sun came sky woman rose moon,GPT-2,347
"Silently, she crept",crept kitchen room hands pillow knees cuffed breathing staring looking said,GPT-2,281
The clock chimed,clock chimed clock chimed clock chimed clock chimed clock chimed,Falcon-7B,370
The smoke rose,smoke rose level made remember fact forgotten turn lights need lights go end day smoke going looked,GPT-2,554
In the bakery,bakery have saying have problem job looking ways improve products processes,Falcon-7B,150
"Slowly, he breathed",breathed woman made move stop jumped bed eyes blazing looked took step bed,GPT-Neo,284
With a yawn,yawn going assume shit,OPT,663
As day broke,day broke sun shining wind blowing sun shining wind blowing sun shining wind blowing sun shining wind blowing sun shining,BLOOM,6
As they shopped,shopped car told car sale told car sale told car sale told,BLOOM,56
With a smile,smile frontrunner announced accept nomination month president announcement moment,GPT-Neo,649
As they laughed,laughed man back room member group said want part group laughed,OPT,45
The wind whispered,wind whispered trees leaves rustled breeze sun shining sky air air air,OPT,611
The phone rang,phone rang car car car car car car car,BLOOM,515
The phone rang,phone rang voice man know knew said did said think said,GPT-Neo,515
With a heavy,heart have report season come end season success number works including world premiere,Falcon-7B,641
With a laugh,laugh man said going politician going politician going politician man figure,OPT,642
The dog sniffed,dog sniffed air looked ’s asked smell said n’t know ’s,Falcon-7B,399
He reached for,reached door handle minutes waiting watched walk turned door opened stepped room,Falcon-7B,123
The horse galloped,horse galloped forest trees horse galloped forest trees horse galloped forest trees,OPT,447
The muscles warmed,muscles warmed blood started flow body go minutes workout bit struggle feeling effects day workout,Falcon-7B,494
She mixed the,mixed made sauce combination fact used lot butter ',Falcon-7B,252
"Slowly, she walked",walked pulled shirt pulled pants stood walked kitchen looked continuing take bite eat taking food felt pain,GPT-2,300
In the garden,garden flowering plants bloom flowers flowers flowers flowers flowers flowers flowers flowers,BLOOM,177
With a breath,breath air wind blowing direction windmill windmill direction windmill windmill direction windmill windmill,BLOOM,622
With a gasp,gasp man shook head looked woman standing eyes closed holding breath smiling smiling,BLOOM,637
The cat purred,cat purred rubbed leg looked cat smiled ’m take have dog home cat looked,Falcon-7B,359
"Gently, she placed",placed pin center board moved length board pulling nails have go press pin,GPT-Neo,96
The curtain parted,curtain parted lights came audience hushed stage set music began curtain parted lights came audience hushed stage set music began,Falcon-7B,389
The results appeared,results appeared results suggest scale pressure environment water temperatures impacted conditions said director,GPT-2,535
The moon glowed,moon glowed sky stars twinkled night sky air wind blew trees rustled leaves crunched underfoot moon,Falcon-7B,489
The flavors balanced,flavors balanced fan flavor fan flavor think balance fan,OPT,428
She found the,found spot sit watch world go found spot sit watch world go love way light hits water love way light hits water,Falcon-7B,245
"Slowly, she breathed",breathed felt breath felt felt notice things dreaming have,GPT-2,295
The costume fit,costume fit dress quality dress quality dress quality dress quality,BLOOM,380
The bird chirped,bird chirped bird chirped bird chirped bird chirped bird chirped bird chirped bird chirped,OPT,325
In the hallway,hallway turned look surroundings noticed window shattered crowd gone investigate found culprit stood see window shattered,GPT-2,180
She turned around,turned looked understand turned looked understand turned looked,OPT,275
