xi,xj,LLM_model,prompt_id
In the workshop,"In the workshop on the development of the ITER project, two teams, those funded under the programme, and a third team, the consortium, demonstrated their efforts to advance the science, technology, and human factors involved in the building of the world's",GPT-Neo,212
The plants thrived,"The plants thrived in the greenhouse, and the seeds were planted in the garden.
The plants thrived in the greenhouse, and the seeds were planted in the garden.
The plants thrived in the greenhouse, and the seeds were planted in",Falcon-7B,519
In the shadows,"In the shadows, there is an older brother, a younger sister who is an alcoholic, a former teacher and a woman's bodyguard.",GPT-2,201
The wind whispered,"The wind whispered through the trees and whistled through the branches above; in the summer, the leaves trembled like sails unfurling in the wind.

One day her grandmother had taken her there. She had promised to come back.",GPT-Neo,611
The pencil scratched,"The pencil scratched the paper.
I think it's the paper that scratched the pencil.",OPT,513
The bags filled,The bags filled with the food were placed in the refrigerator for up to 2 days. The bags were then opened and the contents were examined for the presence of any food contaminants.,BLOOM,318
In the studio,"In the studio with the band
The band is in the studio recording their new album.
The band is in the studio recording their new album.
The band is in the studio recording their new album.
The band is in the studio recording",Falcon-7B,207
The balloon floated,"The balloon floated over the city of Chicago, Illinois, USA, on 16 September 2017.
The balloon was released by the Chicago Council on Global Affairs, a non-profit organisation that promotes international understanding.
The balloon was released by",Falcon-7B,319
The fire flickered,"The fire flickered in the distance, and the light of the fire was
shining in the distance. The fire was burning in the distance, and
the light of the fire was shining in the distance.",BLOOM,422
With a heavy,"With a heavy heart, I have a confession to make. I’m in a difficult position. As a Christian, I want to serve the Lord—as a follower of Jesus Christ (2 Timothy 2:2).",GPT-Neo,641
In the silence,"In the silence of the night,
I hear the sound of your voice,
I feel the warmth of your touch,
I see the light of your eyes,
I smell the fragrance of your breath,
I taste the sweetness of your",Falcon-7B,203
The grass swayed,"The grass swayed and began to twitching, and the grass and the soil were slowly falling.",GPT-2,444
With a splash,"With a splash of paint on its skin, the model should look like an old leather jacket.",GPT-2,654
The fog rolled,"The fog rolled in and the rain started to fall.
The rain was so heavy that it was hard to see.
The wind was blowing so hard that it was hard to breathe.
The rain was so heavy that it was hard to",OPT,435
With a laugh,"With a laugh, I said, “Well, I don’t know.”
“Well, I don’t know.” I said, “Well, I don’t know.”
“Well, I don’t know.”
“Well, I don’t",BLOOM,642
In the theater,"In the theater, I was sitting next to a guy who was talking to his girlfriend. He was talking about how he was going to go to the movies with her and how he was going to buy her a gift.",OPT,210
The car started,"The car started to move, and the driver was trying to get out of the way.

The driver of a car that struck and killed a pedestrian in the city’s west end on Monday morning was trying to get out of the",OPT,354
The book shut,"The book shut down the entire internet.
I'm not sure if you're joking or not, but I'm pretty sure that's not true.
I'm not joking.",OPT,333
She sat down,"She sat down at the breakfast table, a bowl of what looked like blackberry jam.",GPT-Neo,263
The ocean roared,"The ocean roared past the sun. The ocean was filled with cold light rays that shone through the fog, only to become bright blue in the middle of the ocean.

""Ah!",GPT-2,503
He sculpted the,"He sculpted the character a little more, in particular with his signature ""You Know Where I'm At."" In terms of visuals and graphics, the one of the biggest changes was the use of color.

It was clear from the outset that",GPT-2,129
As they performed,"As they performed their duties, the men who followed the drill instructor had to know and follow an elaborate code of conduct.",GPT-Neo,49
As they watched,"As they watched, you could hear his face crinkles with excitement. I was amazed to hear it, and when I looked back, a look of shock had begun to appear on my face. There was nothing like getting to know her.",GPT-2,66
The moon rose,The moon rose and the stars were shining. The sun was shining and the stars were shining. The moon was shining and the stars were shining. The moon was shining and the stars were shining. The moon was shining and the stars were shining.,BLOOM,490
"Slowly, she walked","Slowly, she walked away from the room, and the
wonderful, beautiful, and beautiful girl, who had been so kind to her,
was gone.",BLOOM,300
In the server,"In the server, the user can select the type of the file to be uploaded. The user can also select the file size. The user can also select the file type. The user can also select the file size.",BLOOM,200
In the bedroom,"In the bedroom, the bed is a bit too big for me. I have a small room in the living room, so I can sleep on the bed. I have a small bedroom in the living room, so I can sleep on the bed.",BLOOM,153
The grass swayed,"The grass swayed in the wind, the sun shone down on the green, and the birds chirped in the trees. The air was warm and the sky was blue. The grass was green and the trees were tall.",Falcon-7B,444
He stood up,"He stood up and looked at the man. He was a man of
good character, and he was not a man of the world. He was a man of
the world, and he was not a man of the world.",BLOOM,134
The bees buzzed,"The bees buzzed in the trees, they buzzed in their nests. No one would be more surprised to see the bees than was Pippa, but she was also prepared. The children who were present would wonder why she seemed so calm.",GPT-Neo,320
As they harmonized,"As they harmonized the song, I was thinking ""I wonder if they're going to do the same thing with the other songs.""",OPT,43
The plot thickened,The plot thickened and the temperature increased. The temperature was measured by a thermocouple placed in the bottom of the vessel. The temperature was measured every 10 min.,BLOOM,520
"Quietly, she whispered","Quietly, she whispered, ""I'm sorry.""
""For what?"" he asked, his voice low and husky.
""For not telling you sooner.""
""I'm not sure I would have believed you.""",Falcon-7B,229
The bell tolled,The bell tolled on a big hillside in a small village which had stood around the end of its hill.,GPT-2,324
The rain stopped,"The rain stopped.
It's been raining for a while now.
It's been raining for a while now.
It's been raining for a while now.
It's been raining for a while now.
It's been raining",OPT,534
In the garden,"In the garden, the flowering plants are in bloom. The flowers are beautiful and the flowers are beautiful. The flowers are beautiful. The flowers are beautiful. The flowers are beautiful. The flowers are beautiful. The flowers are beautiful.",BLOOM,177
The music played,The music played by the band is a mix of traditional and contemporary music.,Falcon-7B,496
The fire flickered,"The fire flickered for a long time before disappearing beneath the sea.

""Fire?""

""The ship.""

""Aye."" The sailor pointed to the horizon.",GPT-Neo,422
"Silently, she crept","Silently, she crept forward, and with the utmost calmness, opened the
bundle.",GPT-Neo,281
The train whistled,The train whistled as it pulled into the station. The conductor stepped off the train and walked to the back of the car. He opened the door and looked inside. He saw a man sitting in the corner of the car.,Falcon-7B,589
In the laboratory,"In the laboratory, the researchers used a technique called “electron microscopy” to examine the structure of the protein.",OPT,182
The canvas came,"The canvas came out beautifully. I was so happy with the result. Thank you so much for the great job!
I was very happy with the results. The canvas was very well done and the quality of the work was excellent.",BLOOM,351
The arrow flew,"The arrow flew overhead as a hawk, and there were a flash and a crack, and the hawk was nothing more than a memory.",GPT-Neo,309
The waves lapped,"The waves lapped at the shore, the sun was shining, and the water was warm. The beach was crowded with people, but I was alone. I was alone, but I was not lonely.",Falcon-7B,604
"Slowly, he stirred","Slowly, he stirred himself up and
went to the door.",BLOOM,291
As justice prevailed,"As justice prevailed, the court ruled that the ""luggage tax"" should be assessed.",GPT-Neo,10
"Suddenly, a loud","Suddenly, a loud, angry, and very angry man.
I'm not angry, I'm just disappointed.",OPT,303
She debugged the,"She debugged the code and found that the problem was that the ""if"" statement was not being executed.
She debugged the code and found that the problem was that the ""if"" statement was not being executed.
I'",Falcon-7B,240
The bread baked,"The bread baked with a homemade version will be a hearty, hearty meal, especially for the holidays. But for people who haven't yet used it, the gluten will give the potatoes a nice texture that they aren't accustomed to.

4.",GPT-2,334
In the kitchen,"In the kitchen of a small house in the hills outside Los Angeles, a group of men and women—two men, six women, two children—are preparing lunch.",GPT-Neo,181
The seedling grew,"The seedling grew with its original colouring, then gave way at a very rapid rate, after one or two hatching, so that when the seedling was killed by the shell in a small bucket, the soil would appear white as one would",GPT-2,548
The snow melted,The snow melted and the wind was blowing. The wind was blowing so fast that the snow was falling on the ground. The wind was blowing so fast that the snow was falling on the ground.,BLOOM,557
She looked down,"She looked down at the table and saw that the
servant was not in the room. She had not been in the room for a long
time, and she had not been in the room for a long time.",BLOOM,250
He climbed the,"He climbed the narrow staircase into a black-walled, square room, illuminated by candles and torchlight.

He was now in a cell of the Old Bailey. The walls were paneled with wood, the floor with iron.",GPT-Neo,106
The keys played,The keys played music for me.,GPT-Neo,459
He looked away,"He looked away, and I knew he was thinking about his wife. ""I'm sorry,"" he said. ""I'm not trying to be a jerk.",Falcon-7B,115
In the den,"In the den, the fireplace is the focal point of the room. The mantel is a great place to display your favorite things.
In the den, the fireplace is the focal point of the room.",Falcon-7B,168
With a flourish,"With a flourish, he removed the helmet and revealed a shaven and muscular head adorned with a large, bushy eyebrow. “Welcome to my home for the next five months.",GPT-Neo,634
The moon rose,"The moon rose over the mountains to guide us north. It took most of the night to reach the trailhead at the bottom of Mt. Washington, but in the morning it was an easy descent into the town of Fairfield.",GPT-Neo,490
The robot moved,"The robot moved to the right and left, and then to the right and left again. The robot was able to move to the right and left, and then to the right and left again.",BLOOM,540
The light bulb,The light bulb (black) is the second half of the bulb.,GPT-2,474
"Suddenly, a loud","Suddenly, a loud thud occurred, and his right arm was torn.",GPT-2,303
The water splashed,The water splashed after the storm.,GPT-2,600
With a frown,"With a frown on his face, he looked at the man who had just entered the room.
""I'm sorry, I didn't mean to interrupt you.""
""No, it's fine.
I was just about to go to",OPT,635
The rain drizzled,"The rain drizzled down on the streets of the city of San Francisco, California, on a warm, sunny day. The city was bustling with activity, and the streets were filled with people.",OPT,529
The adventure unfolded,"The adventure unfolded in the midst of a world of war, and the story of the heroine, a young girl who was sent to the front to fight in the war, is told in the form of a story of love and adventure.",BLOOM,305
"Carefully, he poured","Carefully, he poured the water into the glass.
He was careful not to spill it.
He was careful not to spill it.
He was careful not to spill it.
He was careful not to spill it.
He",OPT,77
As morning broke,"As morning broke, and the sun was shining, I was ready to go to bed. I was tired, but I was not tired. I was tired of the day, and I was tired of the night.",BLOOM,11
The car stopped,The car stopped at the corner of the road and the driver was stopped by the police.,BLOOM,355
"Slowly, he breathed","Slowly, he breathed in the air, and
he saw the light of the fire rising in the distance.",BLOOM,284
In the distance,"In the distance, the water was crystal clear,

And in its depths the fish was flitting

Like bees buzzing in swarms about the sun,

Or flitting about a sunlit garden;

They were as real",GPT-Neo,169
"Carefully, she mixed","Carefully, she mixed up the food on her plate, then held up her right hand so that the man in the kitchen could watch as she dipped her fingers in the stewed mushrooms, put them in her mouth, then scooped up the last",GPT-Neo,85
With great effort,"With great effort, the authors have shown that the presence of a single, large, and highly mobile, highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly mobile, and highly",BLOOM,667
As they laughed,"As they laughed, their eyes fell down a little towards the dark green trees.",GPT-2,45
With a fizz,"With a fizz, you can just go in and out of the fountain and it will be fine.
I think he means the fountain is not a fountain.
I think he means the fountain is not a fountain.",OPT,633
With a sprinkle,"With a sprinkle of salt.
I'm not sure if you're being sarcastic or not, but I'm going to assume you're being sarcastic.
I'm not being sarcastic.",OPT,655
She raised her,"She raised her hands in protest. She asked why not take an action.

I'm here to talk to you, mom.

""Why are we here? Why aren't we looking up to you?"" she shouted.",GPT-2,259
The kata flowed,"The kata flowed well, but the execution was a bit sloppy.",OPT,458
The sun peeked,The sun peeked through the window and the sun was shining. The sun was shining and the sun was shining. The sun was shining and the sun was shining. The sun was shining and the sun was shining.,BLOOM,572
The fog rolled,"The fog rolled in, and the sun disappeared.
The fog rolled in, and the sun disappeared.
The fog rolled in, and the sun disappeared.
The fog rolled in, and the sun disappeared.
The fog rolled in, and",Falcon-7B,435
With a shrug,"With a shrug, the guard led me away from the others. I tried not to look at his legs.

""My name is Jack,"" I said, and tried to step to one side so that the guard wouldn't follow me.",GPT-Neo,647
"Quietly, she crept","Quietly, she crept into the room, and
looked at the clock. It was ten o’clock. She had not been in the house
long, and she had not been in the kitchen for a long time.",BLOOM,224
With great care,"With great care, the present invention encompasses a new, distinctive and valuable cultivar of geranium, botanically known as Pelargonium zonale, and hereinafter referred to by the cultivar name xe2x80x98",GPT-Neo,666
He sculpted the,"He sculpted the statue of liberty.
He sculpted the statue of liberty.",OPT,129
As autumn came,"As autumn came to an end and the sun dropped below the horizon, a small group of people from the world’s three great religions gathered in the center of the ancient Japanese city of Kyoto.",GPT-Neo,3
In the pantry,In the pantry. A lot of work went into making the space appear more comfortable than it really is.,GPT-Neo,195
The cheese melted,"The cheese melted on his mouth.

""You know what?"" she whispered.",GPT-Neo,363
He walked away,"He walked away, taking one last glance, and then disappeared behind a row of houses.

The night before she'd done the same, knowing that as long as Jodie was with him she wouldn't be alone.",GPT-Neo,142
She walked away,"She walked away from the car and then came back and said ""I'm sorry, I didn't mean to hit you.""",OPT,278
The stars appeared,"The stars appeared to align for the New York Giants on Sunday.

The Giants were able to get a win against the Philadelphia Eagles, and they did it without their starting quarterback, Eli Manning.

Manning was injured in the first",OPT,563
He spotted the,"He spotted the opportunity to make a quick buck and he took it.
I think he was just trying to get a laugh out of it.",OPT,131
The flowers bloomed,"The flowers bloomed and began to flutter in the air, and were then picked at by bees, the bees, and the grasshoppers, at which point it was put away, and that is what was to happen, and it is said",GPT-2,433
In the backyard,"In the backyard of her East Hampton home, Julia Sorenson, a lifelong New Yorker, found a perfect spot to plant a garden. But she lacked the funds to build a simple, green house. Instead, she decided to make one herself.",GPT-Neo,149
The cat stretched,"The cat stretched out its paw and the dog was like ""oh shit, I'm in trouble""
I think the cat was just trying to get the dog to play with it.
I think the cat was just trying to get the dog",OPT,360
The data revealed,"The data revealed that most children were between three and seven years old and those under five are at higher risk.

But the study has many limitations, with an even higher number of children under five, compared to children under seven, who are already",GPT-2,391
The grain separated,"The grain separated from the rest of the grain.
I think you mean the grain separated from the rest of the grain.",OPT,441
The song peaked,"The song peaked at #2 on Billboard's Hot 100 (behind Only the Brave's 'Don't Stand So Close to Me'), and went on to sell 7,500,000 copies in the United States alone as of December 2016.",GPT-Neo,560
At the corner,"At the corner of the street, the two men were
standing, and the woman was looking at them with a look of surprise.

""How do you do?"" she asked.

""How do you do?"" he said, looking at her",BLOOM,69
The dog barked,"The dog barked—a strange, sharp sound to make at this time of the day. It was probably the first time, for weeks, that a hound of the hounds had been given the day to exercise its talent.",GPT-Neo,397
The safe yielded,"The safe yielded a lot of money.
I'm sure it did. I'm sure it was a lot of money. I'm sure it was a lot of money. I'm sure it was a lot of money.",OPT,543
The door closed,"The door closed.

""Augh ha, there we go."" The man walked over, gesturing, pulling a chair up, putting its back on, and then leaning back into the chair, looking at the chair, the chair he just",GPT-2,402
The dough rose,The dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the dough rose and the,OPT,407
The clock ticked,The clock ticked past that point and it turned from a normal time to something that looked very natural.,GPT-2,372
The bird chirped,The bird chirped and flew away. The bird was gone. The bird was gone. The bird was gone. The bird was gone. The bird was gone. The bird was gone. The bird was gone. The bird was gone.,BLOOM,325
"Slowly, she breathed","Slowly, she breathed in and out, her eyes closed. She felt the warmth of the sun on her face, and the cool breeze on her skin. She felt the grass beneath her, and the soft, warm sand beneath her feet.",Falcon-7B,295
The mystery deepened,"The mystery deepened over the weekend as the FBI said this weekend it had ""no evidence"" to support a theory that the San Bernardino, California killings were an act of terrorism, despite a federal law enforcement official saying earlier he believed there was ""clear",GPT-Neo,499
The door creaked,"The door creaked.

""We're here!""

He stepped back, and the door swung open. They entered, walked through another door, and saw the room ahead of them.",GPT-Neo,403
"Carefully, he placed","Carefully, he placed the box on the table and opened it.
The box was empty.
He looked at the table, then at the box, then at the table again.
He looked at the box, then at the table,",Falcon-7B,76
At the corner,"At the corner of the street has a little window with a little light.


There is a door.",GPT-2,69
The stone revealed,"The stone revealed a sign that someone was preparing for it, with a small print of the name and address stamped on it.",GPT-2,567
As they observed,"As they observed, she had said nothing.

""She's my friend. I'll tell you this, she's a great artist.",GPT-Neo,48
In the basement,"In the basement of the library, the staff has a huge table full of books. Each of them has a different cover design. One book has a blue cover with red letters inside. One has green cover with yellow letters inside.",GPT-Neo,152
The test passed,"The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test passed.
The test",BLOOM,580
With a gasp,"With a gasp, Lola grabbed a pillow and stood up.",GPT-2,637
With trembling hands,"With trembling hands, the man
stood up and looked at the girl. She was a beautiful girl, and he
was very fond of her. He had never seen her before, and he was very
fond of her.",BLOOM,668
In the foyer,"In the foyer of the new $1.5 million, 3,000-square-foot addition to the St. Paul's Episcopal Church in downtown Hagerstown, a large, colorful mural depicts the church's history.",Falcon-7B,174
Under the stars,"Under the stars, the stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are shining bright

The stars are",OPT,618
With a smile,"With a smile, he said, “You’re not the only one.”
“You’re not the only one.”
“You’re not the only one.”
“You’re not the only one.”
“You’re",BLOOM,649
As they listened,"As they listened to the crowd, they realized that they were going to have to do something.

The crowd was chanting, “We want to see the president!”

“We want to see the president!�",OPT,46
The land provided,"The land provided by the government for the construction of the new airport is located in the village of Kavadarci, 10 km from the city of Skopje.",Falcon-7B,465
With a yawn,"With a yawn, I opened my eyes and looked around. I was in a small room, with a bed, a desk, and a chair. I was alone. I looked around again, and noticed a door.",Falcon-7B,663
In the classroom,"In the classroom, teachers are taught to respect the individual learning styles and talents of their students while giving them ample opportunity to show what interests them. As a result, their lessons become more interesting and engaging.",GPT-Neo,159
As dawn broke,"As dawn broke over the city of New Orleans, the first of the rescue workers arrived. They were greeted by a scene of utter devastation. The city was a sea of mud, with the water level still rising.",Falcon-7B,4
The boat rocked,"The boat rocked gently in the water, the sun was shining and the sky was blue. The sea was calm and the air was warm. The boat was full of people, all of them were smiling and laughing.",Falcon-7B,330
She waited for,She waited for the next day to get back to work. She was so happy to see her new job. She was so happy to see her new job. She was so happy to see her new job.,BLOOM,277
The sword gleamed,The sword gleamed from that day.,GPT-2,577
The audience listened,"The audience listened to the stories of the “heroes” of the war, who were awarded the title of “Hero of the Soviet Union” and “Hero of the Russian Federation”.
The event was attended by the Deputy Chairman of",Falcon-7B,313
She held her,"She held her hand and asked, ""Where did you get them?""

""My mother's one of the three or four sisters and she took them from school to get me into the school.",GPT-2,247
The bell tolled,"The bell tolled, followed by a moment of silence, and then the sound of it began to toll again.",GPT-Neo,324
In the forest,"In the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in the forest, in",OPT,173
"Carefully, he placed","Carefully, he placed himself in the position of a ""policeman"" whom, it seems, no one in government is going to tolerate when they put his career on the line.

In the midst of a campaign to oust Trump,",GPT-2,76
The stairs creaked,"The stairs creaked and the door opened. The man was standing in the hallway, his face covered with a mask. He was wearing a mask, and his face was covered with a mask.",BLOOM,562
With a nod,"With a nod to the “Greatest Show on Earth,” the 2019-2020 season of the Ringling Bros.",Falcon-7B,644
The wind whispered,"The wind whispered in the air, and the sound of the wind was
distinct. The wind was blowing in the direction of the road, and
the road was in the direction of the wind.",BLOOM,611
The stairs creaked,"The stairs creaked as they creaked.
The stairs creaked as they creaked.
The stairs creaked as they creaked.
The stairs creaked as they creaked.
The stairs creaked as they creaked.",OPT,562
As morning broke,"As morning broke, the sun was shining brightly, and the sky was blue.
The air was crisp and cool, and the birds were singing.
I was in the middle of a beautiful day.
I was sitting on the porch,",OPT,11
The muscles warmed,"The muscles warmed up when we started in the new program, but they were still not completely healed, so the pain really started to creep up again. It was like there was no chance to stop.",GPT-2,494
The mystery deepened,"The mystery deepened when the man was found dead in a car in the parking lot of a hotel in the city of Puebla, Mexico, on Saturday.

The man, who was in his 40s, was found dead in",OPT,499
In the study,"In the study of the history of the church, the 16th century is often called the “Reformation Century.” It was a time of great change and upheaval in the church.",Falcon-7B,208
In the studio,"In the studio with the band

The band is back in the studio recording their new album.

The band is back in the studio recording their new album.

The band is back in the studio recording their new album.",OPT,207
She sketched the,"She sketched the idea of a large, square tower that would have a square roof that would be enclosed with towers. The idea was to build an amphitheatre; and when an earthquake hit, the amphitheatre would not rise.",GPT-2,268
With a yawn,"With a yawny neck, black hair, long stubby legs, and long-wiggly face, he is the most beautiful and handsome of the girls of the village. He is as sweet and brave as any one in the countryside.",GPT-2,663
The crop yielded,"The crop yielded a lot of fruit.
I'm not sure if you're being sarcastic or not, but I'm going to assume you are.
I'm not being sarcastic.",OPT,381
The sword gleamed,"The sword gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the blade gleamed in the sunlight, the",OPT,577
As they exercised,"As they exercised their right to free speech, the protesters were met with a barrage of tear gas and rubber bullets.

The protesters were protesting against the government's decision to allow the construction of a new mosque in the area.

The",OPT,39
The safe yielded,"The safe yielded $1.5 million in cash, $1.5 million in gold coins, $1.5 million in gold bars, $1.5 million in silver coins, $1.5 million in silver",Falcon-7B,543
"Quietly, he entered","Quietly, he entered the room, and sat down at the table.
*She walks over to him and sits down next to him.*  Hey.
""Hey."" He said, smiling.",OPT,217
He reached for,"He reached for the gun.
He reached for the gun.
He reached for the gun.
He reached for the gun.
He reached for the gun.
He reached for the gun.
He reached for the gun.",OPT,123
In the park,"In the park, there are several other activities that are not well-known outside of a very small group of people. The main difference is that the park's security measures help in preventing incidents and when necessary is to close any and all entrances.",GPT-2,196
With a groan,"With a groan, I rolled over and opened my eyes. I was in my bed, but it was dark. I had no idea what time it was. I was too tired to get up and look at the clock.",Falcon-7B,639
"Slowly, he descended","Slowly, he descended into the darkness.

The man was a man of few words.",OPT,285
As spring arrived,"As spring arrived, the weather was still cold and the snow was still on the ground.",Falcon-7B,18
She explored the,She explored the world of online gaming culture. A few years back he developed this website where people could meet up for drinks while playing the newest video games that were released from Warner Bros.,GPT-2,243
He searched for,"He searched for the body of the slain officer, but as he was about to die he started an argument that led him to believe he was in love.

One of his neighbors found the body of his own son, who he says had shot",GPT-2,130
As they sparred,"As they sparred the world, they were the first to be killed by the Nazis. They were the first to be killed by the Nazis. They were the first to be killed by the Nazis.",BLOOM,59
He adopted the,"He adopted the name ""The Great One"" and became the first player to score 50 goals in a season. He was the first player to score 100 points in a season.",Falcon-7B,104
The butterfly landed,"The butterfly landed on my head and my chin were red. Before I could pull myself back in, I pulled a hard edge of my shirt. I tried to hold it on, but it bounced off and fell on my face.",GPT-2,340
The connection established,"The connection established between the two countries is not only a political one, but also a cultural one.",Falcon-7B,377
The crowd cheered,The crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd cheered as the crowd,GPT-Neo,382
As autumn came,"As autumn came to an end, the weather turned cold and the leaves fell from the trees. The air was crisp and the sun was bright. The leaves were a beautiful shade of red, orange, and yellow.",Falcon-7B,3
In the kitchen,"In the kitchen, the most important thing is the stove. It is the heart of the kitchen. The stove is the most important equipment in the kitchen. It is the most important equipment in the kitchen.",Falcon-7B,181
The water rippled,"The water rippled and the waves crashed against the shore.
The sun was setting and the sky was a deep blue.
The water was calm and the air was warm.
The waves were crashing against the shore.
The water",OPT,599
In the studio,"In the studio, the camera has a very large, crisp picture, and it's not so good when you're trying to take a shot of an actor wearing his trademark black tie and an outfit called ""Shoot me when you're done!""",GPT-2,207
The software improved,"The software improved the efficiency of the company’s operations and helped it to reduce the number of employees.
The company is a leading provider of services for the production of printed circuit boards.",Falcon-7B,558
The flavors balanced,"The flavors balanced in many different combinations, making this spicy or sweet dish the perfect condiment for lunchtime or a hot day.

5.",GPT-2,428
In the kitchen,"In the kitchen, I'll look at pictures of my father's life and go crazy. He worked on motorcycles, and was at work on a motorcycle at the time of his death. He was an avid hunter.",GPT-2,181
The grass grew,The grass grew so high that the little birds could reach it. It was a beautiful land to live in. I am sure that it was like this long before the first man stood by the waters of the Nile.,GPT-Neo,442
