xi,xj,LLM_model,prompt_id
The grass swayed,wind sun shone green birds chirped trees air sky grass trees flowers blooming,Falcon-7B,444
He stood up,looked man man character man world man world man world,BLOOM,134
The bees buzzed,trees buzzed nests one see bees prepared children wonder seemed,GPT-Neo,320
As they harmonized,song thinking wonder going do thing songs,OPT,43
The plot thickened,temperature increased temperature measured placed bottom vessel temperature measured min temperature measured placed bottom vessel,BLOOM,520
"Quietly, she whispered",asked voice telling believed,Falcon-7B,229
The bell tolled,hillside village stood end hill hills crowded people village residents evacuated safety rain decided go,GPT-2,324
The rain stopped,raining while raining while raining while raining while raining,OPT,534
In the garden,flowering plants bloom flowers flowers flowers flowers flowers flowers flowers flowers,BLOOM,177
The music played,band mix music band made members guitars bass guitar keyboard drummer band playing weddings parties,Falcon-7B,496
The fire flickered,time disappearing sea ship sailor pointed horizon knew,GPT-Neo,422
"Silently, she crept",calmness opened bundle arranged escape cover pulled side presented found,GPT-Neo,281
The train whistled,pulled station conductor stepped train walked back car opened door looked saw man sitting corner car conductor walked,Falcon-7B,589
In the laboratory,researchers used technique called electron microscopy examine structure protein found protein made parts sheet protein,OPT,182
The canvas came,result Thank job results canvas done quality work,BLOOM,351
The arrow flew,hawk were flash crack hawk memory arrow made wood metal light,GPT-Neo,309
The waves lapped,shore sun shining water beach crowded people,Falcon-7B,604
"Slowly, he stirred",went door house time house time house,BLOOM,291
As justice prevailed,court ruled luggage tax assessed tax paid individuals obliged carry luggage travelled air rail carry,GPT-Neo,10
"Suddenly, a loud",man,OPT,303
She debugged the,code found problem statement executed code found problem statement executed ',Falcon-7B,240
The bread baked,version meal holidays people used gluten give potatoes texture accustomed,GPT-2,334
In the kitchen,house hills group men women men women children preparing lunch is smell meat aroma,GPT-Neo,181
The seedling grew,colouring gave way rate hatching seedling killed shell bucket soil appear,GPT-2,548
The snow melted,wind blowing wind blowing snow falling ground wind blowing snow falling ground wind blowing snow,BLOOM,557
She looked down,table saw servant room room time room time,BLOOM,250
He climbed the,staircase black walled room illuminated candles torchlight cell walls paneled wood floor iron sat,GPT-Neo,106
The keys played,music time opened eyes morning saw windows thought day beginning going get going,GPT-Neo,459
He looked away,knew thinking wife said trying jerk want talk,Falcon-7B,115
In the den,fireplace point room mantel place display things fireplace point room mantel place,Falcon-7B,168
With a flourish,removed helmet revealed head adorned eyebrow Welcome home months arrest murder father �,GPT-Neo,634
The moon rose,mountains guide north took night reach trailhead bottom morning descent town,GPT-Neo,490
The robot moved,right left right left robot move right left right left robot move right left,BLOOM,540
The light bulb,half bulb light sides periods darkness light rises wall indicate hours light switched,GPT-2,474
"Suddenly, a loud",occurred arm torn had grip pair scissors held arms hand gripped small back worry,GPT-2,303
The water splashed,storm team helicopters took scene hospital fire department announced firefighters named missing residents told,GPT-2,600
With a frown,face looked man entered room mean interrupt go,OPT,635
The rain drizzled,streets city day city bustling activity streets filled people city place,OPT,529
The adventure unfolded,midst world war story heroine girl sent front fight war told form story love adventure,BLOOM,305
"Carefully, he poured",water glass spill spill spill spill,OPT,77
As morning broke,sun shining go bed day night day,BLOOM,11
The car stopped,corner road driver stopped police driver taken hospital pronounced police said driver resident village,BLOOM,355
"Slowly, he breathed",air saw light fire rising distance astonished looked see fire rising distance fire,BLOOM,284
In the distance,water crystal depths fish flitting bees buzzing swarms sun flitting garden,GPT-Neo,169
"Carefully, she mixed",food plate held hand man kitchen watch dipped fingers stewed mushrooms put mouth scooped,GPT-Neo,85
With great effort,authors shown presence,BLOOM,667
As they laughed,eyes fell trees trail people area saw people out place creature people world,GPT-2,45
With a fizz,go fountain think means fountain fountain think means fountain fountain,OPT,633
With a sprinkle,salt going assume saying idea,OPT,655
She raised her,hands protest asked take action talk mom looking shouted aren,GPT-2,259
The kata flowed,execution bit,OPT,458
The sun peeked,window sun shining sun shining sun shining sun shining sun shining sun shining sun shining sun shining,BLOOM,572
The fog rolled,sun disappeared sun disappeared sun disappeared sun disappeared,Falcon-7B,435
With a shrug,guard led others tried look legs name said tried step side guard follow,GPT-Neo,647
"Quietly, she crept",room looked clock house kitchen time,BLOOM,224
With great care,invention encompasses cultivar geranium known zonale hereinafter referred cultivar name,GPT-Neo,666
He sculpted the,statue liberty statue liberty,OPT,129
As autumn came,end sun dropped horizon group people world religions gathered center city gathering opportunity,GPT-Neo,3
In the pantry,lot work went making space appear bought metal shelves steel refrigerator door kitchen making look ’re,GPT-Neo,195
The cheese melted,mouth know whispered love gone thing tried let show meant,GPT-Neo,363
He walked away,taking glance disappeared row houses night done knowing gone,GPT-Neo,142
She walked away,car came said mean hit,OPT,278
The stars appeared,align get win did starting quarterback injured,OPT,563
He spotted the,opportunity make buck took think trying get laugh,OPT,131
The flowers bloomed,began flutter air picked bees bees grasshoppers point put happen said,GPT-2,433
In the backyard,home found spot plant garden lacked funds build house decided make,GPT-Neo,149
The cat stretched,paw dog trouble think cat trying get dog play think cat trying get dog,OPT,360
The data revealed,children years risk study has limitations number children compared children,GPT-2,391
The grain separated,rest grain think mean grain separated rest grain,OPT,441
The song peaked,Stand went sell copies,GPT-Neo,560
At the corner,street men standing woman looking look surprise do asked do said looking,BLOOM,69
The dog barked,sound make time day time weeks hound hounds given day exercise talent waited,GPT-Neo,397
The safe yielded,lot money did lot money lot money lot money,OPT,543
The door closed,go man walked gesturing pulling chair putting back leaning chair looking chair chair,GPT-2,402
The dough rose,dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose dough rose,OPT,407
The clock ticked,point turned time looked time clock ticked time see stars horizon,GPT-2,372
The bird chirped,flew bird gone bird gone bird gone bird gone bird gone bird gone bird gone bird gone bird,BLOOM,325
"Slowly, she breathed",eyes closed felt warmth sun face breeze skin felt grass sand feet,Falcon-7B,295
The mystery deepened,weekend said weekend had evidence support theory killings act terrorism law enforcement official saying believed was,GPT-Neo,499
The door creaked,stepped door swung entered walked door saw room headed walked room,GPT-Neo,403
"Carefully, he placed",box table opened box looked table box table looked box table,Falcon-7B,76
At the corner,street has window light is door know has light man walks stops get shop is,GPT-2,69
The stone revealed,sign preparing print name address stamped sign hung air entrance church plaque wall read,GPT-2,567
As they observed,said friend tell artist artist stay making life,GPT-Neo,48
In the basement,library staff has table books has cover design book has cover letters has cover letters others,GPT-Neo,152
The test passed,test,BLOOM,580
With a gasp,grabbed pillow stood had look face knew get bathroom care,GPT-2,637
With trembling hands,man stood looked girl girl seen had,BLOOM,668
In the foyer,foot addition downtown mural depicts church history,Falcon-7B,174
Under the stars,stars shining stars shining stars shining stars shining stars shining stars shining stars,OPT,618
With a smile,said ’re ’re ’re ’re ’re,BLOOM,649
As they listened,crowd realized going have do crowd chanting want see president want see president,OPT,46
The land provided,government construction airport located village km city airport located municipality,Falcon-7B,465
With a yawn,opened eyes looked room bed desk chair looked noticed door walked,Falcon-7B,663
In the classroom,teachers taught respect learning styles talents students giving opportunity show interests result lessons become do,GPT-Neo,159
As dawn broke,city rescue workers arrived greeted scene devastation city sea mud water level rising rescue workers greeted,Falcon-7B,4
The boat rocked,water sun shining sky sea air boat people smiling laughing boat heading,Falcon-7B,330
She waited for,day get work see job see job see job see,BLOOM,277
The sword gleamed,day,GPT-2,577
The audience listened,stories heroes war awarded title event attended,Falcon-7B,313
She held her,hand asked get mother sisters took school get school gave boy took,GPT-2,247
The bell tolled,followed moment silence sound began toll hour passed sun time hour pass sun rose,GPT-Neo,324
In the forest,forest forest forest forest forest forest forest forest forest forest forest,OPT,173
"Carefully, he placed",position policeman seems one government going tolerate put career line midst campaign oust,GPT-2,76
The stairs creaked,door opened man standing hallway face covered mask wearing mask face covered mask wearing mask face,BLOOM,562
With a nod,season feature show Legends feature cast,Falcon-7B,644
The wind whispered,air sound wind wind blowing direction road road direction wind wind blowing direction,BLOOM,611
The stairs creaked,creaked creaked creaked creaked creaked,OPT,562
As morning broke,sun shining sky air birds singing middle day sitting porch,OPT,11
The muscles warmed,started program healed pain started creep was chance stop month sleep,GPT-2,494
The mystery deepened,man found car parking lot hotel city man 40s found,OPT,499
In the study,history church century called time change upheaval church movement began,Falcon-7B,208
In the studio,band band studio recording album band studio recording album band studio recording album,OPT,207
She sketched the,idea tower have roof enclosed towers idea build amphitheatre earthquake hit amphitheatre rise years,GPT-2,268
With a yawn,neck hair legs face girls village countryside,GPT-2,663
The crop yielded,lot fruit going assume saying crop yielded lot,OPT,381
The sword gleamed,sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight blade gleamed sunlight,OPT,577
As they exercised,right speech protesters met barrage gas rubber bullets protesters protesting government decision allow construction mosque area,OPT,39
The safe yielded,cash coins gold bars coins silver,Falcon-7B,543
"Quietly, he entered",room sat table walks sits said smiling,OPT,217
He reached for,gun gun gun gun gun gun gun,OPT,123
In the park,are activities known group people difference park security measures help preventing incidents close entrances,GPT-2,196
With a groan,rolled opened eyes bed had idea time get look clock rolled closed,Falcon-7B,639
"Slowly, he descended",darkness man man words man born family words man born family,OPT,285
As spring arrived,weather snow ground sun shining temperature 30s snow melting ground grass,Falcon-7B,18
She explored the,world gaming culture years developed website people meet drinks playing video games released whim spent portion,GPT-2,243
He searched for,body officer die started argument led believe love neighbors found body son says shot,GPT-2,130
As they sparred,world killed killed killed killed,BLOOM,59
He adopted the,name became player score goals season player score points season player score goals,Falcon-7B,104
The butterfly landed,head chin pull pulled edge shirt tried hold bounced fell face instant,GPT-2,340
The connection established,countries one countries have lot people countries countries have lot,Falcon-7B,377
The crowd cheered,crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd cheered crowd,GPT-Neo,382
As autumn came,end weather turned leaves fell trees air sun leaves shade trees grass,Falcon-7B,3
In the kitchen,thing stove heart kitchen stove equipment kitchen equipment kitchen equipment kitchen,Falcon-7B,181
The water rippled,waves crashed shore sun setting sky blue water air waves crashing shore water,OPT,599
In the studio,camera has picture trying take shot actor wearing trademark tie outfit called Shoot done,GPT-2,207
The software improved,efficiency company operations helped reduce number employees company leading provider services production printed circuit boards operating market,Falcon-7B,558
The flavors balanced,combinations making dish condiment lunchtime day spicy pepper combo garlic,GPT-2,428
In the kitchen,look pictures father life go worked motorcycles work motorcycle time death hunter bike made,GPT-2,181
The grass grew,birds reach land live man stood waters animals live,GPT-Neo,442
In the shelter,heard banging door sound gunfire sent man bleeding screaming men met ran screaming,GPT-2,202
As they talked,future talking future world talking future world talking future world talking future world,BLOOM,60
The drawing completed,artist bit eyes nose think supposed bit,OPT,408
The adventure unfolded,1980s countries opening,Falcon-7B,305
With a yawn,men turned side room man darkness man face standing middle room,BLOOM,663
As they cooked,water poured pot pot covered lid lid removed pot placed minutes pot removed lid removed pot,BLOOM,31
The notes danced,hands looked see boy stood clothes headed moustache sat chair,GPT-2,502
The smoke rose,cigar began drift grew feel growing growing going reach stared,GPT-Neo,554
As night deepened,moon rose stars came air night moon stars night moon,Falcon-7B,14
Slowly but surely,world becoming place think,OPT,283
With a laugh,ask go conscience fight need see peace reconciliation ending violence rebuilding economy security stay prison,GPT-2,642
The dog barked,door think cat,OPT,397
The crowd cheered,Dancing Stars winner announced Dancing Stars winner announced Dancing Stars winner,Falcon-7B,382
"Slowly, he walked",think asked pointing eyes eyes turned let pass,GPT-2,294
The clues led,discovery type cancer called breast cancer breast cancer cancer cancer women breast cancer cancer,BLOOM,373
The incense burned,church priest saying prayers church people priest saying prayers priest saying prayers church people,Falcon-7B,454
As they tested,hypotheses realized none working working resulted way science operates understanding works are types explanations,GPT-2,62
He took a,breath said going tell told going tell truth going tell,Falcon-7B,137
She walked away,room door closed had idea happened knew had go had go police had go police had,BLOOM,278
The phone rang,police middle conversation mother middle conversation mother middle conversation mother,OPT,515
"Gently, she planted",seed table like have thing teach like teach said like take,GPT-2,97
The world changed,said lot people gone asked 's keep lives told religion whole,GPT-2,613
As they talked,season thinking miss season loved season think season agree think season,OPT,60
"Carefully, he soldered",wires circuit board soldered wires circuit board circuit board soldered wires circuit board soldered wires circuit board,Falcon-7B,79
The leaves rustled,smoke dissipated leaves started work had lot room relax relax stress fear,GPT-2,470
In the attic,village man started build house work bench boxes filled thousands bricks,GPT-Neo,148
The stars shone,darkening sky clouds rolled mountains world night world world world breath,GPT-Neo,565
The lion roared,elephant trumpeted giraffe stretched neck rhino snorted animals display fundraiser zoo,Falcon-7B,479
In the stadium,fans cheered team fans see team captain captain team captain team captain team captain team,BLOOM,206
He stepped back,eyes going tell go going tell go going tell go,Falcon-7B,132
The rain poured,sky flooded windows sky pink had idea getting take clothes go reached saw mother uncle,GPT-2,533
"Quietly, she crept",room looked clock house kitchen time,BLOOM,224
"Suddenly, a loud",crash thunder lightning struck ground town panic town panic town panic town,BLOOM,303
The grass rustled,wind blew sun shone grass making look glowing grass color grass looked waving wind,Falcon-7B,443
The train rumbled,train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled train rumbled,BLOOM,588
The tea steamed,milk form dipped side cream taken time thicken mixed sugar sugar gel milk thudd,GPT-2,579
The grass swayed,breeze hawk screeched distance hawk beak eyes morning moon,GPT-Neo,444
The crust stretched,base island top island part island covered layer sand island covered layer sand part,BLOOM,386
The storm raged,bay swept water started run harbour water shore became areas parts east sea,GPT-2,569
The bell tolled,tune wish get do write life writing line ended got,GPT-2,324
"Quietly, he entered",room middle room stood cot lay boy hair breathing tell,GPT-Neo,217
She explored the,possibilities technology field health care apply technology field health care apply technology field health care,BLOOM,243
The pollen floated,landed window ladybird opened mandibles spread legs dropped flower landed bud fluff,GPT-Neo,521
The cat meowed,trying sleep fuck,OPT,358
She reached for,telephone thinking going call help found looking stranger hair turned head found way see,GPT-2,260
As they drove,city saw crowd people number people number people number,BLOOM,35
The dog wagged,tail looked man man sense dog house time,BLOOM,400
As they listened,story fact story fact story fact story,BLOOM,46
"Suddenly, a loud",crash pierced night got yelled teammates coaches court clock,GPT-Neo,303
The mystery deepened,man man man man man man man man man,BLOOM,499
The phone vibrated,sound car approaching heard driver wearing jacket leather jacket wearing leather jacket leather jacket driver wearing leather jacket,BLOOM,516
The dog sniffed,air wind wind sniffed air dog sniffed air air wind dog sniffed air wind,BLOOM,399
"Gently, he pushed",bed went sit let slid bed want asked want know,GPT-Neo,89
The rain pattered,roof parade cloak man sat fire smoked pipe child sat hearth rug,GPT-Neo,532
As justice prevailed,judges denied sides granted request injunction granted appeals ruling appeal ordered things,GPT-2,10
"Carefully, she placed",pieces paper bag took bag car took bag car drove driving direction,BLOOM,86
In the garden,spring bulbs beginning flower crocus snowdrops bloom daffodils beginning open tulips,Falcon-7B,177
The bell rang,students filed classroom teacher sitting desk waiting students take seats morning class said hope had,Falcon-7B,323
The camera flashed,dark light make scene look scene scene bit camera capture scene scene bit,BLOOM,342
With a click,button get copy version game game download play need register play game,OPT,629
With a nod,genre ' 80s teen horror films film opens sequence killer played abducts kills teens D,GPT-Neo,644
"Carefully, he sliced",middle leave cut bottom neck shoulder blades sliced vein felt,GPT-Neo,78
As they walked,men talked weather crops price cattle news capital heard king going make law said farmer,Falcon-7B,65
"Slowly, he turned",head look talk understand talk,Falcon-7B,292
As they talked,future talking future world talking future world talking future world talking future world,BLOOM,60
The spell cast,spellcaster spell effect spellcaster cast spell spellcaster spellcaster spellcaster spellcaster cast spell,BLOOM,561
The puppy wagged,tail barked door Come come come come come come come come come come come come,OPT,525
With a grin,said know know said girl ’re girl ’re girl said boy,BLOOM,638
As day ended,pitcher tea moment had epiphany walking street phone pocket saw man carrying cardboard,GPT-Neo,7
The door creaked,figure stepped room ’m disturb ’m got news ’m father,Falcon-7B,403
"Gently, he stroked",face kissed lips kissed lips kissed face kissed lips kissed face kissed lips,BLOOM,90
The dough rose,worked gave turns bowl encourage rise moved recipe did listened tunes,GPT-Neo,407
In the database,section click Show columns option Click drop list click Samples tab ‘S,GPT-Neo,167
The plane soared,feet reached altitude feet went clouds plane wingspan feet shot missile fired southwest,GPT-2,518
The glasses toasted,oven rest time wine kept glass wine kept glass glass kept wine wine kept glass,BLOOM,440
In the attic,number items car found pair sneakers golf cart pair books case containing bottle,GPT-2,148
He decided to,call time got said held hand hand went hand body thought,GPT-Neo,109
In the hallway,stairs desk computer picked phone turned lights seemed order desk room,GPT-Neo,180
With a snip,have chance forced return chamber lost primary contest,GPT-2,653
"Slowly, he descent",sword fell head man man fell sword sword fell head man man fell sword s,BLOOM,286
The waves lapped,temples ancestors walked jungle sun died chest waves died came find forest island boulder,GPT-2,604
The plot thickened,day unfolded story became requiring actors characters cast drama film called _ _ age,GPT-Neo,520
The world changed,released became company redefine experience tens hundreds devices features phones,GPT-Neo,613
"Carefully, he aimed",gun man head going kill said voice going kill said voice,Falcon-7B,72
As they walked,city man try break barrier ghost move caring life danger defeated ran,GPT-Neo,65
As they exercised,power control world control world control world control world control,BLOOM,39
He remembered when,child had dream becoming doctor student class student class,Falcon-7B,126
He typed the,code string solution comes developer worked phone are ways doing accomplish language,GPT-2,141
As they climbed,steps house thought occurred life motion lived illusion fixed future visualize,GPT-Neo,30
With a shrug,said ’re ’re ’re ’re,BLOOM,647
The city slept,street slept sun moon slept knew cared thing happened earth knew cared did world,GPT-Neo,368
The balloon floated,ship mooring platform end ramp rose air wings flew landing gear pulled balloon lifting,GPT-2,319
The bridge swayed,wind blew wind blew bridge swayed wind blew bridge swayed wind blew bridge swayed wind blew,BLOOM,336
With a gasp,realized reading comments article,OPT,637
"Slowly, she opened",eyes said mean man continued guess pulled head drawer,GPT-2,297
He lifted the,weight world shoulders save save save,OPT,113
She sat down,bed looked phone waiting call time waiting call time waiting call time had,Falcon-7B,263
As they danced,men joined man member group man identified seen holding gun wearing hoodie men,OPT,33
The firewall breached,joking works joking firewall breached joking firewall,OPT,425
"Quietly, he entered",room looked clock office morning finished,BLOOM,217
The candle flickered,top mannequin have time hale sun came sky woman rose moon,GPT-2,347
"Silently, she crept",kitchen room hands pillow knees cuffed breathing staring looking said,GPT-2,281
The clock chimed,,Falcon-7B,370
The smoke rose,level made remember fact forgotten turn lights need lights go end day smoke going looked,GPT-2,554
In the bakery,have saying have problem job looking ways improve products processes,Falcon-7B,150
"Slowly, he breathed",woman made move stop jumped bed eyes blazing looked took step bed,GPT-Neo,284
With a yawn,going assume shit,OPT,663
As day broke,sun shining wind blowing sun shining wind blowing sun shining wind blowing sun shining wind blowing sun shining,BLOOM,6
As they shopped,car told car sale told car sale told car sale told,BLOOM,56
With a smile,frontrunner announced accept nomination month president announcement moment,GPT-Neo,649
As they laughed,man back room member group said want part group laughed,OPT,45
The wind whispered,trees leaves rustled breeze sun shining sky air air air,OPT,611
The phone rang,car car car car car car car,BLOOM,515
The phone rang,voice man know knew said did said think said,GPT-Neo,515
With a heavy,heart have report season come end season success number works including world premiere,Falcon-7B,641
With a laugh,man said going politician going politician going politician man figure,OPT,642
The dog sniffed,air looked ’s asked smell said n’t know ’s,Falcon-7B,399
He reached for,door handle minutes waiting watched walk turned door opened stepped room,Falcon-7B,123
The horse galloped,forest trees forest trees forest trees,OPT,447
The muscles warmed,blood started flow body go minutes workout bit struggle feeling effects day workout,Falcon-7B,494
She mixed the,made sauce combination fact used lot butter ',Falcon-7B,252
"Slowly, she walked",pulled shirt pulled pants stood walked kitchen looked continuing take bite eat taking food felt pain,GPT-2,300
In the garden,flowering plants bloom flowers flowers flowers flowers flowers flowers flowers flowers,BLOOM,177
With a breath,air wind blowing direction windmill windmill direction windmill windmill direction windmill windmill,BLOOM,622
With a gasp,man shook head looked woman standing eyes closed holding breath smiling smiling,BLOOM,637
The cat purred,rubbed leg looked cat smiled ’m take have dog home cat looked,Falcon-7B,359
"Gently, she placed",pin center board moved length board pulling nails have go press pin,GPT-Neo,96
The curtain parted,lights came audience hushed stage set music began lights came audience hushed stage set music began,Falcon-7B,389
The results appeared,results suggest scale pressure environment water temperatures impacted conditions said director,GPT-2,535
The moon glowed,sky stars twinkled night sky air wind blew trees rustled leaves crunched underfoot moon,Falcon-7B,489
The flavors balanced,fan flavor fan flavor think balance fan,OPT,428
She found the,spot sit watch world go spot sit watch world go love way light hits water love way light hits water,Falcon-7B,245
"Slowly, she breathed",felt breath felt felt notice things dreaming have,GPT-2,295
The costume fit,dress quality dress quality dress quality dress quality,BLOOM,380
The bird chirped,,OPT,325
In the hallway,turned look surroundings noticed window shattered crowd gone investigate found culprit stood see window shattered,GPT-2,180
She turned around,looked understand looked understand looked,OPT,275
"Slowly, she paddled",way shore notice man standing shore man beard wearing,OPT,298
The secret revealed,get manicure home get manicure home get manicure home get,Falcon-7B,546
With a taste,' 80s ' 90s ' 00s blast past show aired,Falcon-7B,658
The child laughed,said know know said mother know know know,BLOOM,365
The bees buzzed,looked faces looked red legs began wobble happened see man bees asked,GPT-2,320
Under the bridge,refer Places neighborhood film film,OPT,617
In the cave,heart found treasure memories dreams hopes fears joys sorrows love,Falcon-7B,157
The fog rolled,houses time end Hundreds people died scattered country bombing including eyewitness accounts destruction,GPT-2,435
In the office,have lot meetings have lot meetings have lot meetings ’m ’s ’re company ’s,Falcon-7B,194
The phone rang,turned headed counter went room knocked door guy hair shirt glasses smoking cigarette people smoking,GPT-2,515
The music peaked,number released peaked number release album reach period,GPT-2,495
The stars shone,night moon landing moon shining star sky moon shining star sky moon,OPT,565
In the courtroom,judge said plaintiff hospital week hospital week hospital week hospital week had,BLOOM,164
The ice crackled,sound ice cracking crunching sound ice feet ice looked sun shone ice snow ice,GPT-Neo,450
In the distance,watched sun rise caste green shadows saw reflected sun forest sun said trees,GPT-2,169
She added the,following list member public entitled trial court said plaintiff had right trial plaint,BLOOM,232
"Quietly, he whispered",going get girl going get girl going get girl going get girl going,OPT,223
The rain pattered,roof house wind howled trees rain coming sheets wind howling trees rain coming sheets,OPT,532
The drawing completed,shows spot held group holds spot sits place Reporting Editing,GPT-2,408
"Carefully, she applied",lid checking head squinting oil hit eyes while baby breathing grew point began move belly,GPT-Neo,82
He cracked the,door shut took breath walked went bathroom picked phone voice background said,GPT-2,108
As they watched,news incident police stood building asked reporters move attacked women investigation police seen videos video,GPT-2,66
"Quietly, he entered",room sitting bed stood moment watching see shoulders shaking knew,Falcon-7B,217
The engine roared,life Dreamliners touched marking time aircraft used service,OPT,412
In the workshop,set number players server know want play friends play people friends list,OPT,212
"Slowly, he kneaded",breasts thumbs circling nipples pinched rolled pinched moaned arched pushing breasts hands like asked,Falcon-7B,287
In the distance,sound train whistle sound train whistle sound train whistle sound train whistle sound train whistle sound train whistle,Falcon-7B,169
The sauce simmered,hours meat served side rice side broccoli make ',Falcon-7B,544
The audience listened,earbuds put ears darkened room audience members see stream hear commentary crowd,GPT-Neo,313
The bread baked,oven like bake like bake like,BLOOM,334
With a waft,opened mouth speak response thirds minutes repeat mistake sent flying fallen change,GPT-2,661
In the crowd,audience divided groups group students studying classroom group students studying classroom students studying classroom divided,BLOOM,166
He stretched his,arms stretched legs arms stretched legs arms stretched legs arms,OPT,135
The clock chimed,time meeting arrived Come come professor chipped edge had get used thing wanted,GPT-Neo,370
He looked back,door do do said voice firm man man,Falcon-7B,116
He sat down,knees drawn chest hands folded top table smiled bit ones mean,GPT-Neo,128
